epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,31316,1.16455,0.75918,1.42775,0.93454,0.94986,0.96545,0.68662,1.08322,0.52189,1.34152,0.003169,0.003169,0.003169
71,31756.1,1.16591,0.75453,1.42973,0.93533,0.9493,0.96551,0.68772,1.08261,0.52028,1.34138,0.00307,0.00307,0.00307
72,32194.7,1.15784,0.75205,1.41716,0.93651,0.94986,0.96562,0.6876,1.08137,0.51915,1.34004,0.002971,0.002971,0.002971
73,32635.8,1.15114,0.74256,1.41615,0.93581,0.95019,0.96543,0.68816,1.08039,0.5181,1.33902,0.002872,0.002872,0.002872
74,33076.4,1.15011,0.74022,1.41465,0.93599,0.95153,0.96586,0.68881,1.07874,0.51756,1.33754,0.002773,0.002773,0.002773
75,33518.5,1.14948,0.73967,1.41572,0.93696,0.95225,0.9659,0.6899,1.07757,0.51605,1.33666,0.002674,0.002674,0.002674
76,33957.4,1.13939,0.73109,1.40907,0.93829,0.95265,0.96612,0.69098,1.07635,0.51501,1.33601,0.002575,0.002575,0.002575
77,34396.1,1.1375,0.73189,1.40206,0.93932,0.95265,0.96628,0.69126,1.07534,0.51393,1.33484,0.002476,0.002476,0.002476
78,34839.4,1.12534,0.71925,1.39658,0.93906,0.9529,0.96597,0.69161,1.07386,0.51265,1.33402,0.002377,0.002377,0.002377
79,35281.4,1.12488,0.71368,1.39333,0.93959,0.95313,0.96601,0.69204,1.07247,0.51121,1.33274,0.002278,0.002278,0.002278
80,35720.9,1.11612,0.71453,1.38812,0.94057,0.9532,0.96629,0.69232,1.07166,0.50964,1.33215,0.002179,0.002179,0.002179
81,36161.8,1.11455,0.7102,1.38539,0.9372,0.9532,0.96657,0.69338,1.07165,0.5085,1.33366,0.00208,0.00208,0.00208
82,36600.9,1.11717,0.70748,1.38466,0.93802,0.9532,0.96664,0.69352,1.07085,0.50761,1.3327,0.001981,0.001981,0.001981
83,37039.8,1.09904,0.6987,1.3816,0.93768,0.95265,0.96679,0.69452,1.06985,0.50626,1.3318,0.001882,0.001882,0.001882
84,37484.3,1.10139,0.6924,1.37358,0.93854,0.95278,0.96705,0.69471,1.06873,0.50549,1.33105,0.001783,0.001783,0.001783
85,37923.5,1.09527,0.68474,1.36988,0.93778,0.9532,0.96739,0.69491,1.06729,0.50504,1.3291,0.001684,0.001684,0.001684
86,38363.7,1.07726,0.68358,1.3622,0.93752,0.95304,0.96767,0.69541,1.06621,0.50363,1.3281,0.001585,0.001585,0.001585
87,38802.1,1.08479,0.68166,1.36436,0.93917,0.95476,0.96874,0.69606,1.06519,0.50223,1.32733,0.001486,0.001486,0.001486
88,39246,1.07692,0.67792,1.35898,0.93885,0.95487,0.96888,0.69671,1.06393,0.50129,1.32642,0.001387,0.001387,0.001387
89,39688.5,1.06642,0.66662,1.34932,0.93918,0.95497,0.96901,0.69689,1.06321,0.49975,1.32546,0.001288,0.001288,0.001288
90,40127.1,1.07267,0.67198,1.35055,0.94068,0.9532,0.96864,0.69713,1.06196,0.49841,1.32462,0.001189,0.001189,0.001189
91,40587.2,1.01284,0.50747,1.29084,0.94012,0.95331,0.96865,0.69783,1.0606,0.49752,1.3228,0.00109,0.00109,0.00109
92,41024.5,0.99767,0.49532,1.28104,0.94172,0.95426,0.96927,0.69905,1.0596,0.49633,1.32203,0.000991,0.000991,0.000991
93,41462.4,0.99246,0.49198,1.27448,0.94222,0.95393,0.96941,0.69897,1.0584,0.49457,1.32128,0.000892,0.000892,0.000892
94,41901.1,0.98543,0.4874,1.27095,0.94273,0.95377,0.96935,0.69974,1.05731,0.49341,1.32028,0.000793,0.000793,0.000793
95,42335.9,0.97466,0.48064,1.26071,0.94324,0.95357,0.96958,0.70034,1.05651,0.49216,1.31974,0.000694,0.000694,0.000694
96,42773.4,0.9643,0.4727,1.25469,0.94323,0.9534,0.97008,0.70087,1.05557,0.49073,1.31917,0.000595,0.000595,0.000595
97,43212.9,0.95816,0.47118,1.24811,0.94375,0.9532,0.97008,0.70098,1.05474,0.48986,1.3187,0.000496,0.000496,0.000496
98,43649.1,0.95163,0.46767,1.24211,0.94426,0.95321,0.97006,0.70157,1.05374,0.48815,1.31809,0.000397,0.000397,0.000397
99,44085.1,0.95093,0.46522,1.24234,0.94586,0.95388,0.97014,0.70152,1.05285,0.48693,1.31744,0.000298,0.000298,0.000298
100,44520.1,0.93991,0.46086,1.23385,0.94744,0.95399,0.97027,0.70255,1.05201,0.48596,1.31681,0.000199,0.000199,0.000199
